Front	Back
Recognize: 지원 동기를 말씀해 주세요. What is the interviewer asking?	지원 동기를 말씀해 주세요. / Jiwon donggireul malsseumhae juseyo. / Please tell me why you applied.
How do you say “I'm very interested in this company”?	이 회사에 관심이 많습니다. / I hoesa-e gwansimi manseumnida. / I'm very interested in this company.
How do you say “My strength is responsibility”?	제 장점은 책임감입니다. / Je jangjeomeun chaegimgam-imnida. / My strength is responsibility.
How do you say “I like working as a team”?	팀으로 일하는 것을 좋아합니다. / Timeuro ilhaneun geoseul joahamnida. / I like working as a team.
How do you close the interview with “Thank you”?	감사합니다. / Gamsahamnida. / Thank you.
Interviewer asks about your motivation. What is a safe opener?	이 회사에 관심이 많습니다. / I'm very interested in this company.
Interviewer asks: 본인의 장점은 무엇인가요? Reply.	제 장점은 책임감입니다. / My strength is responsibility.
You want to highlight collaboration. What do you say?	팀으로 일하는 것을 좋아합니다. / I like working as a team.
Translate: 지원 동기를 말씀해 주세요.	Please tell me why you applied.
Translate: 이 회사에 관심이 많습니다.	I'm very interested in this company.
Translate: 제 장점은 책임감입니다.	My strength is responsibility.
Translate: 감사합니다.	Thank you.
